Time,Height,Velocity,Acceleration,G-force,Reynolds
0,1,0,-9.80665,1,0
0.05,0.975483,-0.490332,-9.80665,1,0
0.1,0.926833,-0.973003,-9.65341,0.984374,37441.6
0.15,0.85521,-1.43246,-9.18905,0.937022,74298.6
0.2,0.76248,-1.85461,-8.44314,0.86096,109383
0.25,0.651034,-2.22892,-7.48625,0.763385,141621
0.3,0.523554,-2.5496,-6.41346,0.653991,170205
0.35,0.382768,-2.81572,-5.32246,0.54274,194695
0.4,0.231246,-3.03043,-4.29412,0.437878,215020
0.45,0.0712704,-3.19952,-3.38189,0.344857,231419
0.5,-0.0952328,-3.33006,-2.61088,0.266235,244336
